MiePlot v4.6.18

Date & Time: 4/28/2021 03:35:19 

Calculation Method:         Mie (plane wave)

Graph type: Intensity v. scattering angle

Radius = 0.9 um
Wavelength = 0.6 um
Size parameter x = 9.424778

Point

Wavelength = 0.60 um

Angle	Perpendicular	Parallel	Unpolarised
theta	[S1(theta)]^2	[S2(theta)]^2	[[S1(theta)]^2 + [S2(theta)]^2]/2
 0 	 3185.30968920556 	 3185.30968920556 	 3185.30968920556 
 1 	 3154.32818200479 	 3154.61699388471 	 3154.47258794475 
 2 	 3062.82052943635 	 3063.993855538 	 3063.40719248718 
 3 	 2915.00972026528 	 2917.71302714017 	 2916.36137370273 
 4 	 2717.64821384852 	 2722.59564214632 	 2720.12192799742 
 5 	 2479.61039003757 	 2487.58442022378 	 2483.59740513067 
 6 	 2211.36273029055 	 2223.19093577036 	 2217.27683303045 
 7 	 1924.34863007514 	 1940.8572574072 	 1932.60294374117 
 8 	 1630.33015291568 	 1652.27784881382 	 1641.30400086475 
 9 	 1340.73120647103 	 1368.72950022954 	 1354.73035335029 
 10 	 1066.02543821858 	 1100.45515292749 	 1083.24029557304 
 11 	 815.207775206476 	 856.142031596126 	 835.674903401301 
 12 	 595.381387511489 	 642.526056902123 	 618.953722206806 
 13 	 411.482571955151 	 464.143860832781 	 437.813216393966 
 14 	 266.155420555203 	 323.241824755947 	 294.698622655575 
 15 	 159.777031108376 	 219.839433558167 	 189.808232333271 
 16 	 90.6233175316105 	 151.932898018239 	 121.278107774925 
 17 	 55.1560011851603 	 115.815341553608 	 85.485671369384 
 18 	 48.4037950281424 	 106.482590861491 	 77.4431929448166 
 19 	 64.4056293810752 	 118.089225642813 	 91.2474275119442 
 20 	 96.681292390509 	 144.418231220041 	 120.549761805275 
 21 	 138.695119657094 	 179.329283786601 	 159.012201721848 
 22 	 184.281191552542 	 217.155051020465 	 200.718121286504 
 23 	 228.003511664605 	 253.021370259489 	 240.512440962047 
 24 	 265.4313183951 	 283.075082660404 	 274.253200527752 
 25 	 293.317394693147 	 304.611887364343 	 298.964641028745 
 26 	 309.675315652851 	 316.105063787786 	 312.890189720318 
 27 	 313.759353266623 	 317.143587984397 	 315.45147062551 
 28 	 305.957654318423 	 308.294460610769 	 307.126057464596 
 29 	 287.614846894501 	 290.908557056937 	 289.261701975719 
 30 	 260.8040835121 	 266.891784141312 	 263.847933826706 
 31 	 228.070525741468 	 238.463757796628 	 233.267141769048 
 32 	 192.16841035516 	 207.924759462853 	 200.046584909006 
 33 	 155.812254576642 	 177.448694152155 	 166.630474364399 
 34 	 121.459728006186 	 148.915579034442 	 135.187653520314 
 35 	 91.1396045702739 	 123.79221833584 	 107.465911453057 
 36 	 66.3334280791473 	 103.064660938407 	 84.6990445087773 
 37 	 47.9145147394925 	 87.2212500231913 	 67.5678823813419 
 38 	 36.1430898020086 	 76.2809458157122 	 56.2120178088604 
 39 	 30.7120757713782 	 69.8584192618388 	 50.2852475166085 
 40 	 30.8346020689557 	 67.2553468668213 	 49.0449744678885 
 41 	 35.3618842870971 	 67.5664367452418 	 51.4641605161695 
 42 	 42.918819938134 	 69.78892449205 	 56.353872215092 
 43 	 52.0444648065938 	 72.9254435079232 	 62.4849541572585 
 44 	 61.3254003565668 	 76.0720784852433 	 68.698739420905 
 45 	 69.5117170828386 	 78.4857934251697 	 73.9987552540041 
 46 	 75.6077079292426 	 79.6280158424778 	 77.6178618858602 
 47 	 78.9321458707176 	 79.1837004455533 	 79.0579231581355 
 48 	 79.1459572205683 	 77.0574686001338 	 78.1017129103511 
 49 	 76.2479547604456 	 73.3502562170653 	 74.7991054887554 
 50 	 70.5418479337682 	 68.3211948879214 	 69.4315214108448 
 51 	 62.5798279246868 	 62.3401542750735 	 62.4599910998801 
 52 	 53.0895106234145 	 55.8365016191644 	 54.4630061212895 
 53 	 42.8918423350258 	 49.2492500179627 	 46.0705461764942 
 54 	 32.8177189588578 	 42.9829714124365 	 37.9003451856472 
 55 	 23.6305783495645 	 37.372766823154 	 30.5016725863592 
 56 	 15.9611818211201 	 32.6603482414136 	 24.3107650312669 
 57 	 10.2593242620241 	 28.9820227094014 	 19.6206734857127 
 58 	 6.7654479754911 	 26.3681938168737 	 16.5668208961824 
 59 	 5.50324101943245 	 24.7530007261945 	 15.1281208728135 
 60 	 6.2924352860516 	 23.9919640657554 	 15.1421996759035 
 61 	 8.77933098222714 	 23.8850365525192 	 16.3321837673732 
 62 	 12.4811897190259 	 24.2022707765168 	 18.3417302477713 
 63 	 16.8396557244257 	 24.7093990025967 	 20.7745273635112 
 64 	 21.2778455913592 	 25.1909317686251 	 23.2343886799922 
 65 	 25.2557139095098 	 25.4688707251825 	 25.3622923173461 
 66 	 28.3187374857086 	 25.4157354492378 	 26.8672364674732 
 67 	 30.135809255567 	 24.9612602327571 	 27.5485347441621 
 68 	 30.5234064469695 	 24.0927641651367 	 27.3080853060531 
 69 	 29.4544831712232 	 22.8497823147306 	 26.1521327429769 
 70 	 27.0520072316516 	 21.3140239356747 	 24.1830155836631 
 71 	 23.5684820718209 	 19.596064388943 	 21.582273230382 
 72 	 19.3540419734656 	 17.8203635300695 	 18.5872027517676 
 73 	 14.8166742187271 	 16.1102310902238 	 15.4634526544755 
 74 	 10.3787254710041 	 14.574238417246 	 12.4764819441251 
 75 	 6.43404478406509 	 13.2953265626021 	 9.86468567333357 
 76 	 3.30989425651605 	 12.3235129446472 	 7.81670360058162 
 77 	 1.23715095046264 	 11.672688947089 	 6.45491994877581 
 78 	 0.331396517009836 	 11.3215684499474 	 5.82648248347862 
 79 	 0.586339550416598 	 11.218432234384 	 5.9023858924003 
 80 	 1.87975566930106 	 11.2889522648368 	 6.58435396706893 
 81 	 3.9908862706201 	 11.4461039555615 	 7.71849511309078 
 82 	 6.62713022376375 	 11.6010062584206 	 9.11406824109215 
 83 	 9.45699985455572 	 11.6734812084531 	 10.5652405315044 
 84 	 12.145774369631 	 11.6011977472165 	 11.8734860584238 
 85 	 14.390118003461 	 11.3464493300481 	 12.8682836667546 
 86 	 15.9481463111093 	 10.8998908396809 	 13.4240185753951 
 87 	 16.661993157764 	 10.2808990442656 	 13.4714461010148 
 88 	 16.4707885234324 	 9.5345878002678 	 13.0026881618501 
 89 	 15.4130099906471 	 8.7258673644852 	 12.0694386775662 
 90 	 13.6183065252835 	 7.93125044573761 	 10.7747784855106 
 91 	 11.2899925105698 	 7.22934436477379 	 9.2596684376718 
 92 	 8.68035884662322 	 6.69110489619087 	 7.68573187140704 
 93 	 6.06164935967854 	 6.37094913050572 	 6.21629924509213 
 94 	 3.69593510652027 	 6.2997297172323 	 4.99783241187628 
 95 	 1.80715115404731 	 6.48037080730417 	 4.14376098067574 
