MiePlot v4.6.18

Date & Time: 5/2/2021 22:23:10 

Calculation Method:         Mie (plane wave)

Graph type: Cext/Csca/Cabs v. radius

Refractive index (sphere) 	Real part: 	1.331721	Imaginary part: 	0
Refractive index (medium)	Real part: 	1	

Wavelength: 	0.6	 um

Radius (µm)	Cext m^2	Csca m^2	Cabs m^2
 0.1 	 3.4944617870544E-15 	 3.4944617870544E-15 	 3.94430452610506E-31 
 0.134590019263236 	 1.56869615498414E-14 	 1.56869615498414E-14 	-3.15544362088405E-30 
 0.181144732852781 	 6.35290976969633E-14 	 6.35290976969633E-14 	 1.26217744835362E-29 
 0.243802730840895 	 2.37612659210779E-13 	 2.37612659210779E-13 	 0 
 0.328134142403055 	 7.55881279381122E-13 	 7.55881279381122E-13 	 0 
 0.441635805469525 	 2.05409634076633E-12 	 2.05409634076633E-12 	 0 
 0.59439771565478 	 4.32850654088868E-12 	 4.32850654088868E-12 	 0 
 0.8 	 6.23945012987179E-12 	 6.23945012987179E-12 	 0 
******************************************

